Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,No insurance,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.7,16.9,25.1,16.9 - 25.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"Less than $25,000",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.7,22.3,31.5,22.3 - 31.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$25,000 - $34,999",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.4,15.8,21.2,15.8 - 21.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$35,000 - $49,999",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.8,18.3,25.6,18.3 - 25.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$50,000 - $74,999",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.0,17.6,22.7,17.6 - 22.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$75,000 - $99,999",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.0,21.3,28.9,21.3 - 28.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$100,000 - $149,999",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.9,16.2,19.7,16.2 - 19.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$150,000 - $199,999",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.9,19.8,26.2,19.8 - 26.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$200,000 and above",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.0,23.1,29.2,23.1 - 29.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,Did not report,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.0,19.2,25.0,19.2 - 25.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.3,15.4,32.8,15.4 - 32.8,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,15.6,9.8,23.2,9.8 - 23.2,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.4,20.4,30.8,20.4 - 30.8,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.6,10.7,26.6,10.7 - 26.6,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.5,24.1,33.2,24.1 - 33.2,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.5,13.5,24.5,13.5 - 24.5,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,32.2,26.0,38.9,26.0 - 38.9,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.6,15.1,29.3,15.1 - 29.3,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.9,18.5,41.3,18.5 - 41.3,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.5,14.6,25.1,14.6 - 25.1,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,29.2,23.1,35.8,23.1 - 35.8,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.6,18.2,34.3,18.2 - 34.3,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.1,12.1,23.1,12.1 - 23.1,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.6,16.2,25.5,16.2 - 25.5,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.4,16.3,27.2,16.3 - 27.2,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,15.1,10.6,20.6,10.6 - 20.6,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.0,11.2,21.8,11.2 - 21.8,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.9,13.8,27.2,13.8 - 27.2,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.4,11.0,27.9,11.0 - 27.9,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.8,11.2,26.3,11.2 - 26.3,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,31.7,24.6,39.5,24.6 - 39.5,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.0,20.5,32.1,20.5 - 32.1,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.2,16.8,28.4,16.8 - 28.4,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.4,14.8,24.8,14.8 - 24.8,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.1,11.9,30.6,11.9 - 30.6,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,13.0,8.5,18.8,8.5 - 18.8,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,12.7,7.7,19.3,7.7 - 19.3,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.8,9.1,29.7,9.1 - 29.7,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.9,12.3,27.0,12.3 - 27.0,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.9,19.0,33.8,19.0 - 33.8,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.8,19.8,34.8,19.8 - 34.8,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.7,15.4,33.6,15.4 - 33.6,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.6,18.6,31.6,18.6 - 31.6,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.4,14.7,24.8,14.7 - 24.8,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,,,,,Estimate not reliable.,1.0
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.3,14.0,25.5,14.0 - 25.5,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.0,15.0,28.1,15.0 - 28.1,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.0,20.6,34.2,20.6 - 34.2,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.1,15.3,25.7,15.3 - 25.7,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.0,12.5,29.5,12.5 - 29.5,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.9,10.7,24.8,10.7 - 24.8,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,14.4,8.2,22.9,8.2 - 22.9,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.6,10.7,24.1,10.7 - 24.1,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.3,15.2,26.1,15.2 - 26.1,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.8,15.9,26.4,15.9 - 26.4,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.2,13.4,38.1,13.4 - 38.1,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.6,16.3,29.8,16.3 - 29.8,20.2-24.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.0,20.8,29.5,20.8 - 29.5,24.7-32.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.6,12.9,25.4,12.9 - 25.4,17.7-20.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,15.2,9.8,22.0,9.8 - 22.0,8.2-17.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,12.8,7.1,20.7,7.1 - 20.7,8.2-17.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,60 - 69 years,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,70 - 79 years,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Male,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Female,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Less than a high school diploma,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,High school diploma or GED,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Some college/Associate's degree,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,With disability,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,Without disability,-1,1,"Jul 6 - Jul 20, 2021",07/06/2021,07/20/2021,,,,,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,20.8,20.1,21.5,20.1 - 21.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,16.7,14.8,18.7,14.8 - 18.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,20.6,18.9,22.3,18.9 - 22.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.6,20.2,23.2,20.2 - 23.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.1,19.8,22.5,19.8 - 22.5,,
